Group;ParticipantID;timeFac;value
KG;830;Prä;60
KG;830;Post;72
KG;830;FU;38
KG;573;Prä;36
KG;573;Post;36
KG;573;FU;40
EG;696;Prä;78
EG;696;Post;14
EG;696;FU;28
EG;780;Prä;42
EG;780;Post;30
EG;780;FU;40
KG;465;Prä;28
KG;465;Post;NA
KG;465;FU;40
EG;620;Prä;4
EG;620;Post;2
EG;620;FU;18
EG;490;Prä;34
EG;490;Post;18
EG;490;FU;20
KG;801;Prä;102
KG;801;Post;52
KG;801;FU;52
EG;342;Prä;42
EG;342;Post;20
EG;342;FU;20
EG;663;Prä;38
EG;663;Post;16
EG;663;FU;4
KG;497;Prä;76
KG;497;Post;76
KG;497;FU;86
EG;572;Prä;54
EG;572;Post;42
EG;572;FU;52
KG;309;Prä;42
KG;309;Post;24
KG;309;FU;40
KG;481;Prä;52
KG;481;Post;60
KG;481;FU;40
KG;502;Prä;36
KG;502;Post;NA
KG;502;FU;NA
EG;722;Prä;104
EG;722;Post;72
EG;722;FU;62
EG;713;Prä;72
EG;713;Post;46
EG;713;FU;34
KG;421;Prä;68
KG;421;Post;84
KG;421;FU;72
EG;651;Prä;6
EG;651;Post;NA
EG;651;FU;NA
KG;778;Prä;38
KG;778;Post;46
KG;778;FU;30
KG;426;Prä;100
KG;426;Post;106
KG;426;FU;92
EG;683;Prä;32
EG;683;Post;NA
EG;683;FU;NA
EG;593;Prä;52
EG;593;Post;NA
EG;593;FU;34
KG;395;Prä;46
KG;395;Post;38
KG;395;FU;28
EG;256;Prä;26
EG;256;Post;24
EG;256;FU;NA
KG;405;Prä;104
KG;405;Post;114
KG;405;FU;120
EG;311;Prä;64
EG;311;Post;24
EG;311;FU;32
KG;866;Prä;50
KG;866;Post;NA
KG;866;FU;NA
KG;500;Prä;34
KG;500;Post;NA
KG;500;FU;NA
EG;601;Prä;32
EG;601;Post;32
EG;601;FU;86
KG;645;Prä;36
KG;645;Post;36
KG;645;FU;58
EG;492;Prä;60
EG;492;Post;30
EG;492;FU;26
EG;823;Prä;42
EG;823;Post;20
EG;823;FU;26
EG;694;Prä;58
EG;694;Post;36
EG;694;FU;36
KG;632;Prä;50
KG;632;Post;54
KG;632;FU;NA
EG;237;Prä;28
EG;237;Post;4
EG;237;FU;8
KG;803;Prä;22
KG;803;Post;44
KG;803;FU;28
EG;319;Prä;36
EG;319;Post;58
EG;319;FU;34
EG;365;Prä;44
EG;365;Post;0
EG;365;FU;32
EG;494;Prä;20
EG;494;Post;20
EG;494;FU;22
KG;835;Prä;44
KG;835;Post;24
KG;835;FU;12
EG;225;Prä;58
EG;225;Post;80
EG;225;FU;64
EG;680;Prä;70
EG;680;Post;10
EG;680;FU;14
KG;628;Prä;68
KG;628;Post;52
KG;628;FU;NA
KG;735;Prä;58
KG;735;Post;38
KG;735;FU;50
KG;218;Prä;58
