Group;ParticipantID;timeFac;value
EG;A-AG3103;Prä;-7
EG;A-AG3103;Post;NA
EG;A-AG3103;FU;NA
EG;A-AH1406;Prä;11
EG;A-AH1406;Post;NA
EG;A-AH1406;FU;NA
KG;A-AT1107;Prä;18
KG;A-AT1107;Post;19
KG;A-AT1107;FU;43
EG;A-EC1108;Prä;-56
EG;A-EC1108;Post;-15
EG;A-EC1108;FU;-34
KG;A-LD3110;Prä;NA
KG;A-LD3110;Post;NA
KG;A-LD3110;FU;NA
EG;A-LH0304;Prä;-22
EG;A-LH0304;Post;NA
EG;A-LH0304;FU;NA
EG;A-LH2309;Prä;3
EG;A-LH2309;Post;31
EG;A-LH2309;FU;11
KG;A-LS1309;Prä;NA
KG;A-LS1309;Post;NA
KG;A-LS1309;FU;NA
EG;A-MH1305;Prä;-14
EG;A-MH1305;Post;NA
EG;A-MH1305;FU;-34
EG;A-MP2311;Prä;-51
EG;A-MP2311;Post;NA
EG;A-MP2311;FU;-30
KG;A-NS2609;Prä;16
KG;A-NS2609;Post;11
KG;A-NS2609;FU;45
KG;A-PH0405;Prä;-33
KG;A-PH0405;Post;-15
KG;A-PH0405;FU;2
KG;A-RB0209;Prä;-13
KG;A-RB0209;Post;-7
KG;A-RB0209;FU;-14
KG;A-SH0207;Prä;-3
KG;A-SH0207;Post;NA
KG;A-SH0207;FU;-10
EG;A-SH2708;Prä;NA
EG;A-SH2708;Post;NA
EG;A-SH2708;FU;NA
KG;A-TA1908;Prä;-9
KG;A-TA1908;Post;NA
KG;A-TA1908;FU;25
EG;A-ZS2201;Prä;NA
EG;A-ZS2201;Post;NA
EG;A-ZS2201;FU;NA
KG;B-AA1011;Prä;NA
KG;B-AA1011;Post;-20
KG;B-AA1011;FU;NA
EG;B-AK0207;Prä;-23
EG;B-AK0207;Post;26
EG;B-AK0207;FU;NA
EG;B-CB0310;Prä;-15
EG;B-CB0310;Post;5
EG;B-CB0310;FU;-11
KG;B-CH0908;Prä;41
KG;B-CH0908;Post;37
KG;B-CH0908;FU;40
EG;B-CK2704;Prä;-13
EG;B-CK2704;Post;54
EG;B-CK2704;FU;49
EG;B-CZ2505;Prä;-60
EG;B-CZ2505;Post;-2
EG;B-CZ2505;FU;-16
KG;B-DB1101;Prä;-44
KG;B-DB1101;Post;-37
KG;B-DB1101;FU;-43
KG;B-FS0212;Prä;-58
KG;B-FS0212;Post;-41
KG;B-FS0212;FU;-25
EG;B-HG0708;Prä;-52
EG;B-HG0708;Post;1
EG;B-HG0708;FU;-51
KG;B-JD2511;Prä;51
KG;B-JD2511;Post;53
KG;B-JD2511;FU;50
KG;B-KK0411;Prä;-30
KG;B-KK0411;Post;-20
KG;B-KK0411;FU;-8
EG;B-LB2109;Prä;-29
EG;B-LB2109;Post;33
EG;B-LB2109;FU;27
EG;B-LD0512;Prä;49
EG;B-LD0512;Post;NA
EG;B-LD0512;FU;NA
KG;B-LH1209;Prä;-1
KG;B-LH1209;Post;-30
KG;B-LH1209;FU;-30
EG;B-LK0311;Prä;13
EG;B-LK0311;Post;40
EG;B-LK0311;FU;27
KG;B-LK1008;Prä;1
KG;B-LK1008;Post;3
KG;B-LK1008;FU;10
EG;B-LK1010;Prä;-25
EG;B-LK1010;Post;15
EG;B-LK1010;FU;34
KG;B-LL0808;Prä;-22
KG;B-LL0808;Post;3
KG;B-LL0808;FU;-10
KG;B-LS0801;Prä;-37
KG;B-LS0801;Post;-42
KG;B-LS0801;FU;NA
KG;B-LS0806;Prä;-47
KG;B-LS0806;Post;-10
KG;B-LS0806;FU;-29
EG;B-LS1407;Prä;-40
EG;B-LS1407;Post;-11
EG;B-LS1407;FU;-4
EG;B-LS1504;Prä;-2
EG;B-LS1504;Post;29
EG;B-LS1504;FU;18
EG;B-MA2001;Prä;-23
EG;B-MA2001;Post;-6
EG;B-MA2001;FU;-3
KG;B-MB1109;Prä;19
KG;B-MB1109;Post;18
KG;B-MB1109;FU;NA
EG;B-MD0806;Prä;24
EG;B-MD0806;Post;NA
EG;B-MD0806;FU;35
KG;B-MN2703;Prä;-38
KG;B-MN2703;Post;-26
KG;B-MN2703;FU;-51
KG;B-MS2206;Prä;-4
KG;B-MS2206;Post;-1
KG;B-MS2206;FU;10
EG;B-NK0509;Prä;-39
