Group;ParticipantID;timeFac;value
KG;1;Prä;27
KG;1;Post;19
KG;1;FU;9
EG;2;Prä;33
EG;2;Post;30
EG;2;FU;24
EG;3;Prä;42
EG;3;Post;NA
EG;3;FU;NA
EG;4;Prä;7
EG;4;Post;NA
EG;4;FU;NA
KG;5;Prä;35
KG;5;Post;54
KG;5;FU;NA
KG;6;Prä;17
KG;6;Post;NA
KG;6;FU;36
KG;7;Prä;17
KG;7;Post;NA
KG;7;FU;NA
EG;8;Prä;NA
EG;8;Post;24
EG;8;FU;NA
KG;9;Prä;4
KG;9;Post;NA
KG;9;FU;NA
KG;10;Prä;37
KG;10;Post;NA
KG;10;FU;NA
EG;11;Prä;28
EG;11;Post;6
EG;11;FU;8
EG;12;Prä;24
EG;12;Post;7
EG;12;FU;14
EG;13;Prä;22
EG;13;Post;13
EG;13;FU;8
KG;14;Prä;NA
KG;14;Post;NA
KG;14;FU;NA
EG;15;Prä;10
EG;15;Post;12
EG;15;FU;10
EG;16;Prä;28
EG;16;Post;28
EG;16;FU;21
KG;17;Prä;29
KG;17;Post;29
KG;17;FU;22
KG;18;Prä;4
KG;18;Post;17
KG;18;FU;NA
KG;19;Prä;10
KG;19;Post;21
KG;19;FU;8
EG;20;Prä;31
EG;20;Post;NA
EG;20;FU;NA
EG;21;Prä;3
EG;21;Post;9
EG;21;FU;6
KG;22;Prä;10
KG;22;Post;NA
KG;22;FU;10
KG;23;Prä;33
KG;23;Post;45
KG;23;FU;NA
KG;24;Prä;24
KG;24;Post;31
KG;24;FU;19
EG;25;Prä;5
EG;25;Post;13
EG;25;FU;14
KG;26;Prä;4
KG;26;Post;15
KG;26;FU;20
EG;27;Prä;12
EG;27;Post;NA
EG;27;FU;NA
EG;28;Prä;44
EG;28;Post;NA
EG;28;FU;40
KG;29;Prä;51
KG;29;Post;NA
KG;29;FU;NA
EG;30;Prä;16
EG;30;Post;28
EG;30;FU;20
EG;31;Prä;20
EG;31;Post;18
EG;31;FU;18
KG;32;Prä;9
KG;32;Post;5
KG;32;FU;23
EG;33;Prä;12
EG;33;Post;NA
EG;33;FU;44
EG;34;Prä;21
EG;34;Post;28
EG;34;FU;29
KG;35;Prä;30
KG;35;Post;37
KG;35;FU;34
EG;36;Prä;27
EG;36;Post;12
EG;36;FU;18
EG;37;Prä;13
EG;37;Post;27
EG;37;FU;17
EG;38;Prä;1
EG;38;Post;19
EG;38;FU;6
KG;39;Prä;39
KG;39;Post;NA
KG;39;FU;NA
EG;40;Prä;32
EG;40;Post;27
EG;40;FU;24
EG;41;Prä;NA
EG;41;Post;3
EG;41;FU;3
EG;42;Prä;58
EG;42;Post;50
EG;42;FU;54
KG;43;Prä;15
KG;43;Post;21
KG;43;FU;14
KG;44;Prä;30
KG;44;Post;NA
KG;44;FU;NA
KG;45;Prä;26
KG;45;Post;NA
KG;45;FU;NA
KG;46;Prä;3
KG;46;Post;4
KG;46;FU;7
KG;47;Prä;7
KG;47;Post;21
KG;47;FU;16
KG;48;Prä;20
KG;48;Post;NA
KG;48;FU;NA
KG;49;Prä;39
KG;49;Post;20
KG;49;FU;27
KG;50;Prä;42
KG;50;Post;NA
KG;50;FU;NA
EG;51;Prä;28
EG;51;Post;NA
EG;51;FU;NA
EG;52;Prä;16
EG;52;Post;NA
EG;52;FU;NA
KG;53;Prä;33
KG;53;Post;41
KG;53;FU;44
KG;54;Prä;31
KG;54;Post;36
KG;54;FU;36
EG;55;Prä;28
EG;55;Post;NA
EG;55;FU;NA
EG;56;Prä;14
EG;56;Post;43
EG;56;FU;NA
EG;57;Prä;35
EG;57;Post;NA
EG;57;FU;NA
KG;58;Prä;3
KG;58;Post;7
KG;58;FU;7
EG;59;Prä;10
EG;59;Post;14
EG;59;FU;14
EG;60;Prä;18
EG;60;Post;NA
EG;60;FU;NA
KG;61;Prä;17
KG;61;Post;13
KG;61;FU;18
KG;62;Prä;9
KG;62;Post;22
KG;62;FU;16
EG;63;Prä;13
EG;63;Post;8
EG;63;FU;7
KG;64;Prä;6
KG;64;Post;5
KG;64;FU;2
EG;65;Prä;53
EG;65;Post;29
EG;65;FU;34
EG;66;Prä;22
EG;66;Post;31
EG;66;FU;36
EG;67;Prä;24
EG;67;Post;26
EG;67;FU;31
KG;68;Prä;11
KG;68;Post;11
KG;68;FU;11
EG;69;Prä;33
EG;69;Post;17
EG;69;FU;14
EG;70;Prä;36
EG;70;Post;35
EG;70;FU;28
KG;71;Prä;12
KG;71;Post;NA
KG;71;FU;NA
KG;72;Prä;17
KG;72;Post;17
KG;72;FU;27
EG;73;Prä;NA
EG;73;Post;14
EG;73;FU;9
KG;74;Prä;34
KG;74;Post;18
KG;74;FU;16
KG;75;Prä;14
KG;75;Post;15
KG;75;FU;NA
KG;76;Prä;36
KG;76;Post;34
KG;76;FU;50
EG;77;Prä;7
EG;77;Post;NA
EG;77;FU;2
KG;78;Prä;5
KG;78;Post;6
KG;78;FU;NA
EG;79;Prä;19
EG;79;Post;43
EG;79;FU;40
KG;80;Prä;17
KG;80;Post;37
KG;80;FU;26
KG;81;Prä;12
KG;81;Post;25
KG;81;FU;14
KG;82;Prä;11
KG;82;Post;13
KG;82;FU;NA
EG;83;Prä;13
EG;83;Post;5
EG;83;FU;5
EG;84;Prä;50
EG;84;Post;33
EG;84;FU;NA
KG;85;Prä;50
KG;85;Post;NA
KG;85;FU;NA
EG;86;Prä;20
EG;86;Post;19
EG;86;FU;6
EG;87;Prä;4
EG;87;Post;25
EG;87;FU;NA
EG;88;Prä;30
EG;88;Post;NA
EG;88;FU;6
KG;89;Prä;12
KG;89;Post;NA
KG;89;FU;NA
KG;90;Prä;3
KG;90;Post;17
KG;90;FU;NA
KG;91;Prä;7
KG;91;Post;2
