Group;ParticipantID;timeFac;value
EG;1;Prä;7
EG;1;Post;19
EG;1;FU;22
KG;2;Prä;11
KG;2;Post;17
KG;2;FU;16
KG;3;Prä;8
KG;3;Post;10
KG;3;FU;10
EG;4;Prä;8
EG;4;Post;NA
EG;4;FU;NA
EG;5;Prä;13
EG;5;Post;23
EG;5;FU;22
EG;6;Prä;15
EG;6;Post;24
EG;6;FU;24
KG;7;Prä;11
KG;7;Post;14
KG;7;FU;11
KG;8;Prä;15
KG;8;Post;17
KG;8;FU;NA
KG;9;Prä;19
KG;9;Post;17
KG;9;FU;15
EG;10;Prä;11
EG;10;Post;16
EG;10;FU;17
EG;11;Prä;15
EG;11;Post;24
EG;11;FU;23
KG;12;Prä;12
KG;12;Post;16
KG;12;FU;16
EG;13;Prä;11
EG;13;Post;22
EG;13;FU;25
EG;14;Prä;11
EG;14;Post;13
EG;14;FU;21
EG;15;Prä;10
EG;15;Post;23
EG;15;FU;29
EG;16;Prä;16
EG;16;Post;22
EG;16;FU;12
KG;17;Prä;13
KG;17;Post;10
KG;17;FU;14
EG;18;Prä;12
EG;18;Post;26
EG;18;FU;30
KG;19;Prä;16
KG;19;Post;23
KG;19;FU;23
EG;20;Prä;13
EG;20;Post;18
EG;20;FU;14
EG;21;Prä;14
EG;21;Post;19
EG;21;FU;16
KG;22;Prä;10
KG;22;Post;20
KG;22;FU;17
EG;23;Prä;18
EG;23;Post;18
EG;23;FU;21
KG;24;Prä;10
KG;24;Post;8
KG;24;FU;6
EG;25;Prä;12
EG;25;Post;20
EG;25;FU;21
KG;26;Prä;13
KG;26;Post;22
KG;26;FU;29
KG;27;Prä;11
KG;27;Post;17
KG;27;FU;19
EG;28;Prä;14
EG;28;Post;17
EG;28;FU;9
KG;29;Prä;15
KG;29;Post;20
KG;29;FU;21
EG;30;Prä;12
EG;30;Post;13
EG;30;FU;12
KG;31;Prä;16
KG;31;Post;16
KG;31;FU;18
KG;32;Prä;19
KG;32;Post;24
KG;32;FU;20
KG;33;Prä;21
KG;33;Post;23
KG;33;FU;22
KG;34;Prä;13
KG;34;Post;16
KG;34;FU;20
KG;35;Prä;10
KG;35;Post;17
KG;35;FU;24
EG;36;Prä;11
EG;36;Post;33
EG;36;FU;27
EG;37;Prä;14
EG;37;Post;20
EG;37;FU;22
KG;38;Prä;16
KG;38;Post;19
KG;38;FU;22
KG;39;Prä;16
KG;39;Post;12
KG;39;FU;19
EG;40;Prä;17
EG;40;Post;23
EG;40;FU;16
EG;41;Prä;19
EG;41;Post;NA
EG;41;FU;NA
EG;42;Prä;12
EG;42;Post;15
EG;42;FU;14
KG;43;Prä;16
KG;43;Post;18
KG;43;FU;13
EG;44;Prä;16
EG;44;Post;24
EG;44;FU;23
EG;45;Prä;20
EG;45;Post;28
EG;45;FU;20
EG;46;Prä;13
EG;46;Post;23
EG;46;FU;15
KG;47;Prä;13
KG;47;Post;14
KG;47;FU;13
KG;48;Prä;18
KG;48;Post;13
KG;48;FU;14
EG;49;Prä;12
EG;49;Post;30
EG;49;FU;30
EG;50;Prä;11
EG;50;Post;25
EG;50;FU;24
KG;51;Prä;13
KG;51;Post;17
KG;51;FU;18
KG;52;Prä;17
KG;52;Post;NA
KG;52;FU;NA
KG;53;Prä;21
KG;53;Post;25
KG;53;FU;26
EG;54;Prä;18
EG;54;Post;25
EG;54;FU;20
EG;55;Prä;14
EG;55;Post;27
EG;55;FU;28
EG;56;Prä;20
EG;56;Post;25
EG;56;FU;23
EG;57;Prä;22
EG;57;Post;25
EG;57;FU;28
EG;58;Prä;23
EG;58;Post;27
EG;58;FU;27
KG;59;Prä;19
KG;59;Post;23
KG;59;FU;23
KG;60;Prä;24
KG;60;Post;27
KG;60;FU;23
KG;61;Prä;21
KG;61;Post;21
KG;61;FU;21
EG;62;Prä;21
EG;62;Post;26
EG;62;FU;29
KG;63;Prä;14
KG;63;Post;17
KG;63;FU;17
KG;64;Prä;26
KG;64;Post;27
KG;64;FU;28
EG;65;Prä;19
EG;65;Post;29
EG;65;FU;23
KG;66;Prä;21
KG;66;Post;17
KG;66;FU;12
EG;67;Prä;26
EG;67;Post;32
EG;67;FU;31
EG;68;Prä;19
EG;68;Post;21
EG;68;FU;24
EG;69;Prä;22
EG;69;Post;21
EG;69;FU;23
KG;70;Prä;20
KG;70;Post;22
KG;70;FU;23
EG;71;Prä;24
EG;71;Post;33
EG;71;FU;34
KG;72;Prä;22
KG;72;Post;18
KG;72;FU;24
KG;73;Prä;23
KG;73;Post;30
KG;73;FU;30
KG;74;Prä;22
KG;74;Post;17
KG;74;FU;17
EG;75;Prä;21
EG;75;Post;28
EG;75;FU;27
KG;76;Prä;22
KG;76;Post;20
KG;76;FU;22
EG;77;Prä;20
EG;77;Post;29
EG;77;FU;32
KG;78;Prä;21
KG;78;Post;29
KG;78;FU;30
EG;79;Prä;20
EG;79;Post;27
EG;79;FU;30
KG;80;Prä;22
KG;80;Post;21
KG;80;FU;22
KG;81;Prä;27
KG;81;Post;32
KG;81;FU;30
EG;82;Prä;17
EG;82;Post;NA
EG;82;FU;NA
KG;83;Prä;21
KG;83;Post;16
KG;83;FU;9
KG;84;Prä;20
KG;84;Post;26
KG;84;FU;20
KG;85;Prä;23
KG;85;Post;21
KG;85;FU;22
EG;86;Prä;25
EG;86;Post;32
EG;86;FU;27
KG;87;Prä;27
KG;87;Post;26
KG;87;FU;25
KG;88;Prä;27
KG;88;Post;25
KG;88;FU;26
EG;89;Prä;21
EG;89;Post;28
EG;89;FU;29
EG;90;Prä;23
EG;90;Post;NA
EG;90;FU;NA
KG;91;Prä;19
KG;91;Post;21
KG;91;FU;22
EG;92;Prä;24
EG;92;Post;29
EG;92;FU;28
EG;93;Prä;25
EG;93;Post;30
EG;93;FU;28
EG;94;Prä;25
EG;94;Post;27
EG;94;FU;26
EG;95;Prä;26
EG;95;Post;19
EG;95;FU;19
KG;96;Prä;21
KG;96;Post;15
KG;96;FU;19
KG;97;Prä;25
KG;97;Post;27
KG;97;FU;25
KG;98;Prä;28
KG;98;Post;28
KG;98;FU;28
EG;99;Prä;28
EG;99;Post;31
EG;99;FU;27
KG;100;Prä;23
KG;100;Post;NA
KG;100;FU;NA
EG;101;Prä;28
EG;101;Post;31
EG;101;FU;29
EG;102;Prä;19
EG;102;Post;29
EG;102;FU;34
EG;103;Prä;19
EG;103;Post;29
EG;103;FU;26
EG;104;Prä;23
EG;104;Post;26
EG;104;FU;26
KG;105;Prä;26
KG;105;Post;26
KG;105;FU;31
EG;106;Prä;28
EG;106;Post;28
EG;106;FU;25
EG;107;Prä;31
EG;107;Post;34
EG;107;FU;35
EG;108;Prä;27
EG;108;Post;29
EG;108;FU;29
KG;109;Prä;31
KG;109;Post;33
KG;109;FU;33
KG;110;Prä;28
KG;110;Post;32
KG;110;FU;34
KG;111;Prä;28
KG;111;Post;28
KG;111;FU;27
EG;112;Prä;31
EG;112;Post;34
EG;112;FU;33
KG;113;Prä;31
KG;113;Post;34
KG;113;FU;33
EG;114;Prä;25
EG;114;Post;26
EG;114;FU;29
EG;115;Prä;32
EG;115;Post;29
EG;115;FU;29
KG;116;Prä;27
KG;116;Post;26
KG;116;FU;31
KG;117;Prä;27
KG;117;Post;25
KG;117;FU;22
KG;118;Prä;29
KG;118;Post;29
KG;118;FU;28
EG;119;Prä;27
EG;119;Post;29
EG;119;FU;29
KG;120;Prä;30
KG;120;Post;30
KG;120;FU;30
KG;121;Prä;30
KG;121;Post;25
KG;121;FU;28
EG;122;Prä;27
